교차로코드,교차로명칭,지번,X좌표,Y좌표
1523,태진운수,646-16천,190490.9265,544402.3219
1524,한국SGI회관앞,24대,190190.7531,544761.3826
1525,태영아파트정문,3-80도,190028.3863,545045.367
1526,미래초교,460-20철,190075.2524,544993.1377
1528,구로노인종합복지관(연등),3-25 대,190172.0782,545049.6725
1529,구로노인종합복지관,3-33 공,190301.3775,545137.969
1530,신도림풍물시장,274철,190538.877,545293.716
1531,대림코오롱아파트,265-10천,190711.1102,545391.2923
1533,구로롯데아파트,570-78대,189784.6708,544812.7459
1536,고척시장(연등),50-65도,187757.921,544983.1425
1537,덕의초교(연등),1-15도,187462.9297,545187.0525
1538,덕의초교,339 대,187360.4374,545133.3205
1540,고척119안전센터(연등)2,산5-1 공,187247.7346,545077.1983
1541,고척근린공원,산22-4도,186997.6129,544958.0858
1542,세곡초교,산9-14 공,186839.996,544883.0829
1544,세곡초교(연등),산9-14 공,186738.1888,544835.4886
1545,훼미리약국,253-317대,186676.8447,544807.8484
1547,개봉1동사거리,67-1도,186431.6324,544688.343
1548,거성푸르뫼아파트(연등)2,416-270대,186347.282,544651.6634
1549,거성푸르뫼아파트,100도,186276.5823,544622.454
1550,거성푸르뫼아파트(연등)1,7-22대,186161.7583,544569.8487
1552,동부골든아파트(연등)1,27-4도,186036.0433,544505.8906
1553,동부골든아파트,50-7대,185889.4933,544377.6137
1554,아이천국어린이집(연등),산2-45임,185808.0236,544284.2735
1555,아이천국어린이집,474대,185820.3008,544187.1108
1556,오류동교회,341 대,185871.0793,544086.9224
1558,수궁동주민센터,213-16전,185108.8594,543767.4527
1559,연세중앙교회,192-1대,185344.3577,543766.5101
1560,수궁동성당(연등),182-7 임,185034.3985,543921.7671
1561,수궁동주민센터(연등),214-3전,184892.1498,543763.4401
1564,온수역8번출구(연등),산4-7임,184392.3332,543702.0726
1387,대륭포스트타워,1065-5천,190832.1478,542937.2971
1489,거리공원입구오거리(연등)2,37-4도,190511.8403,544756.3696
1557,연세중앙교회(연등),192-122 임,185476.9696,543767.6274
1565,온수역,113구,184246.5327,543622.5652
1566,성산타운,342대,185568.7425,543219.5204
1567,,산26-2임,185828.8634,542858.5513
1569,동부제강후문,255-5도,185322.8149,543370.7674
1572,너부대교,3-5천,186331.62,542176.3787
1573,천왕차량사업소,257-17구,186299.28,541858.0922
