Intersection ID,East,West,South,North,Northeast,Southeast,Southwest,Northwest,?????????,?????•Ë??,X???,Y???
3829,,,,,,,220.0,,3829,????,37.54419673,126.88308961
148,,,,,279.0,,,229.0,148,???,37.56536766,127.01620736
3811,,,,,,,,17.0,3811,?????????,37.51613339,126.86537851
4674,,,,,,,,,4674,?????13???????,37.51694772,127.0143924
3946,,,,,,36001.0,,,3946,?????,37.52290817,126.87289495
3304,,,,,,,159.0,229.0,3304,????????(??),37.60471449,127.08994168
3826,,,,,97.0,97.0,,97.0,3826,??•Ô???????,37.53612112,126.8819374
3823,,,,,315.0,685.0,315.0,1025.0,3823,??1??????(????),37.53533711,126.87971529
3830,,,,,,,193.0,463.0,3830,??????,37.53795097,126.88229774
4672,,,,,,347.0,,,4672,????????(??),37.51516929,127.00999896
4672,,,,,,339.0,,,4672,????????(??),37.51516929,127.00999896
3880,,,,,147.0,747.0,147.0,747.0,3880,??????¨“?????,37.63008178,127.07637859
3839,,,,,111.0,111.0,111.0,111.0,3839,??????????(????),37.52895269,126.87047108
3882,,,,,45.0,765.0,45.0,765.0,3882,???????•Ó????,37.62769739,127.07798609
3837,,,,,595.0,155.0,595.0,225.0,3837,???????????????,37.53212258,126.87521205
3838,,,,,,113.0,,,3838,??????(????)1,37.5299309,126.87085161
3808,,,,,97.0,987.0,97.0,247.0,3808,KEB?????????????(????),37.51654549,126.86160851
149,,,,,,,,843.0,149,??????,37.56533762,127.05470905
4697,,,,,,,,231.0,4697,?????????(??),37.47266464,127.03241391
3820,,,,,913.0,173.0,913.0,593.0,3820,???????(????),37.53018055,126.87584164
2229,,,,,36001.0,36001.0,36001.0,36001.0,2229,????????????,37.52734259,127.14196691
1219,,,,,,,,737.0,1219,????•Â???(????),37.47649124,126.96320199
2688,,,,,,,97.0,,2688,??????,37.54362085,127.00166576
2261,,,,,,,95.0,,2261,??????????,37.5047843,127.13883216
3665,,,,,,,33.0,113.0,3665,????3???£⁄?????,37.60988517,127.03569376
3666,,,,,,619.0,,,3666,?£—???(??),37.59015649,127.00658124
3667,109.0,1349.0,,719.0,,,,,3667,???????????(??),37.59427181,127.00852043
3689,,377.0,,,1027.0,,,,3689,?????(????)2,37.61926587,127.05794135
2476,379.0,,,,179.0,,,,2476,?????????,37.54561416,127.07858744
3852,36001.0,36001.0,,36001.0,36001.0,,,,3852,??????,37.53690815,126.86350509
4768,,,,,,,,,4768,??????????,37.54914604,126.81648205
3637,,,,,,,,1017.0,3637,???????(??),37.59445997,126.995123
3633,,,,,195.0,565.0,195.0,995.0,3633,?•‰?(??),37.60470406,126.98389994
2421,,,1161.0,671.0,,91.0,,,2421,??????????(????)1,37.54768672,127.07257689
4048,,,,,53.0,,,143.0,4048,??????,37.62995981,127.05405753
3362,,,621.0,,,,,,3362,??????????,37.60085193,127.06204604
3690,143.0,,,,,,813.0,,3690,???414??,37.6499249,127.06621715
2477,,,,,,,,261.0,2477,????•Â???,37.56360195,127.07849001
3591,,,,,,289.0,1039.0,,3591,?????????,37.60781847,127.00404333
4845,,,,,339.0,,,,4845,???????????,37.62029479,126.93204006
4838,,,,,,,,325.0,4838,????6R~????IC(??),37.49143624,127.09077542
3699,,,,,229.0,,,,3699,??????????,37.61071164,127.03348205
3685,,,,,,1053.0,,1053.0,3685,??1??????,37.5348832,126.87848993
3686,,,,,,,199.0,859.0,3686,?????????604??,37.60760829,127.0235205
3687,,,,,,989.0,,989.0,3687,???•Ó???????,37.60871417,127.02312359
3688,,,,,,,,,3688,????????,37.60994814,127.02269157
