Intersection ID,East,West,South,North,Northeast,Southeast,Southwest,Northwest
1826,,,571.0,571.0,1201.0,,1201.0,
111,,,,36001.0,,,,
616,,529.0,529.0,529.0,,,,
21946,,,,36001.0,,,,
3331,36001.0,,36001.0,36001.0,,,,
1864,,,35.0,35.0,,,,
158,,,691.0,1281.0,,,,
23967,180.0,,180.0,180.0,,,,
22866,,,113.0,703.0,,,,
1854,,919.0,,,,,,
917,889.0,889.0,889.0,889.0,,,,
1843,36001.0,,,,,,,
1611,,53.0,,,,,,
21611,1003.0,1003.0,,1003.0,,,,
1506,271.0,271.0,271.0,271.0,,,,
22580,129.0,,,,,,,
3558,,969.0,,,,,,
2625,,965.0,,,,,,
21816,175.0,,,,,,,
31816,175.0,,,,,,,
51816,,173.0,,,,,,
21619,,,,,,,,291.0
31821,,,,303.0,,,,
21865,,,,,,36001.0,,
31865,,,,,,36001.0,,
41865,,,,,,36001.0,,
24761,,,173.0,,,,,
41816,,,793.0,,,,,
24765,,,277.0,,,,,
4545,,,,,,,,
2872,773.0,,143.0,63.0,,,,
2875,36001.0,36001.0,36001.0,36001.0,,,,
2876,639.0,639.0,9.0,9.0,,,,
2884,33.0,,,,,133.0,,133.0
2901,,,,,759.0,,,69.0
2878,263.0,193.0,1153.0,1223.0,,,,
1835,529.0,,169.0,169.0,,,,
1946,,,,,,,,
2896,1440.0,1440.0,,,,250.0,,250.0
2905,,,,217.0,,,,
22905,,,,,,219.0,,
